ts,acc.x,acc.y,acc.z,acc.roll,acc.pitch,acc.impact,aqi.value,co2.ppm,co2.humidity,co2.temperature,env.humidity,env.temperature,gas.humidity,gas.pressure,gas.resistance,gas.temperature,gps.age,gps.alt,gps.lat,gps.lon,param,state,status,version,asset_id,config_ts,particles.mc_1p0,particles.mc_2p5,particles.mc_4p0,particles.nc_0p5,particles.nc_1p0,particles.nc_2p5,particles.nc_4p0,particles.mc_10p0,particles.nc_10p0,particles.typical_particle_size,fw_version.major,fw_version.minor,fw_version.patch
"2024-07-08, 9:20:08",0.059855044,0.30406362,10.125079,-1.7201177,0.33855104,0,103.563484,790,34.927,19.674,32.507324,21.663513,30.489,83.241,14209,22.6,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.077057,5.709503,6.867584,24.445925,30.77161,32.285408,32.590096,7.390412,32.557858,0.68148804,1,1,0
"2024-07-08, 9:21:09",0.059855044,0.30645782,10.1226845,-1.7340636,0.33862865,0,101.03021,782,34.889,19.693,32.70874,21.663513,30.436,83.237,14306,22.61,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.12471,4.330597,5.1856995,18.809206,23.726198,24.788698,24.880007,5.5426335,24.890745,0.6708374,1,1,0
"2024-07-08, 9:22:10",0.055066638,0.30406362,10.129868,-1.7193052,0.3113204,0,102.917076,800,35.266,19.701,33.392334,21.673582,30.557,83.235,14355,22.63,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.9251862,5.372589,6.3751526,23.928347,29.918093,31.232058,31.390749,6.8425603,31.444456,0.6669159,1,1,0
"2024-07-08, 9:23:11",0.055066638,0.29927522,10.1226845,-1.6934454,0.31154552,0,104.67504,821,35.073,19.738,32.696533,21.713867,31.155,83.237,14365,22.64,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.0155334,5.332184,6.2519836,24.718874,30.6803,31.856081,31.957645,6.692414,32.169186,0.6370239,1,1,0
"2024-07-08, 9:24:11",0.05746084,0.29927522,10.120291,-1.6938457,0.3251675,0,105.44225,820,34.837,19.741,32.495117,21.75415,30.577,83.241,14404,22.66,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.3540344,5.976837,7.103546,26.551884,33.275642,34.67408,34.93873,7.6465154,34.98364,0.66415405,1,1,0
"2024-07-08, 9:25:12",0.045489833,0.30166942,10.125079,-1.7065815,0.25730187,0,101.9771,803,34.799,19.754,33.09326,21.75415,30.384,83.241,14454,22.67,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.2827911,4.4238586,5.2497864,20.0636,25.050417,26.056765,26.156862,5.60611,26.32678,0.65379333,1,1,0
"2024-07-08, 9:26:13",0.05746084,0.30406362,10.117896,-1.721338,0.3252398,0,102.09737,805,34.745,19.831,32.495117,21.824644,30.729,83.241,14564,22.71,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.1304474,4.2844543,5.099762,18.94153,23.815065,24.79651,25.045046,5.4764714,25.09973,0.6697693,1,1,0
"2024-07-08, 9:27:14",0.05746084,0.30166942,10.120291,-1.7073885,0.3251652,0,102.43619,805,34.71,19.917,33.477783,21.935425,30.453,83.237,14655,22.79,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.8003082,5.1999817,6.2173157,23.02112,28.89319,30.220339,30.475222,6.656647,30.469847,0.6715851,1,1,0
"2024-07-08, 9:28:14",0.05267244,0.29448682,10.127473,-1.6655784,0.29786366,0,105.186005,830,34.552,20.008,32.177734,22.056274,30.927,83.247,14604,22.88,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.774063,5.2899475,6.356598,22.740847,28.707644,29.942995,30.197878,6.866364,30.284788,0.6798401,1,1,0
"2024-07-08, 9:29:15",0.055066638,0.30406362,10.113108,-1.7221526,0.31183589,0,104.783066,822,34.454,20.125,32.36084,22.156982,30.162,83.247,14665,22.97,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.0783997,5.551544,6.551544,24.963991,31.139774,32.41236,32.58912,7.0411687,32.578365,0.6702881,1,1,0
